CT_Intitule,CT_Adresse,CT_Complement,CT_CodePostal,CT_Ville,CT_Pays,CT_Ape,CT_Identifiant,CT_Siret,CT_Telephone
LEWA  FRANCE S.A.S,3 RUE MARCONI,,44800,ST HERBLAIN,France,,,,02 53 44 99 42
ARTFLEX,22 PASSAGE FAUGIER,,69007,LYON,,,,,
PEDROLLO,14 RUE CALMETTE,,69740,GENAS,France,,,,04 72 47 80 30
WIKA,"PARC D'AFFAIRES DES BELLEVUES ",8 RUE ROSA LUXEMBOURG,95610,ERAGNY SUR OISE,France,,,,01 34 30 84 84
APS,85 BIS RUE D'ALSACE,,88000,EPINAL,France,,,,
KOCH PUMPENTECHNIK,AM WIEHEN 2 A,,32457,PORTA WESTFALICA,Allemagne,,,,
RYTEC,148-156 RUE D'ILLZACH,,68053,MULHOUSE CEDEX,France,,,,03 89 45 13 41
DRI,136 RUE JEAN-BAPTISTE GODIN,Z.A. DU GUINDAL,59820,GRAVELINES,France,,,,03 28 63 92 21
YAMADA EUROPE BV,AQUAMARIJNSTRAAT 50,,7554,NS HENGELO (OV),Pays-Bas,,NL007710835B01,,0031 74 24 22 032
WIWA,"WILHELM WAGNER GMBH ",GEWERBESTRASSE 1-3,35633,LAHNAU,Allemagne,,,,
PENTAIR SÜDMO GMBH,Industriestraße 7,,73469,RIESBURG,Allemagne,,DE812560764,,
HIBON,2 AVENUE JEAN-PAUL SARTRE,CS 71013,59447,WASQUEHAL,France,,,,03 20 45 39 03
FLUID CONTROL,29 RUE EDGAR QUINET,,93308,AUBERVILLIERS,France,,,,01 48 34 41 00
LA ROBINETTERIE INDUSTRIELLE,ZI NORD,16 RUE PIERRE COT,71100,CHALON SUR SAONE,,,,,
SCHROEDAHL,SCHOENENBACHER STR.4,,51580,RECIHSHOF-MITTELAGGER,Allemagne,,,,00492 26 59 92 78 20
SOVOTEC,Z.A. DE LA VOIVRE,25 ALLEE DES CHENES,88000,EPINAL,France,,,,03 29 34 74 66
HOMA,PARC DE L'ESPLANADE,20 RUE P. H SPAAK,77400,SAINT THIBAULT DES VIGNES,France,,,,01 60 07 35 46
NEW MATEC,29 AVENUE JEAN MANTELET,BATIMENT B,61000,ALENCON,France,,,,02 50 39 00 00
PR INDUSTRIES,ZAE LES PORTES FORET ZAC VERGERS,5 ALLEE DES CARRIERES N°LB1H,77090,COLLEGIEN MARNE LA VALLEE,France,,,,01 60 17 63 65
DICEEP,19 ROUTE NATIONALE,,54280,LANEUVELOTTE,France,,,,03 83 29 03 43
DEWAELE TECHNICAL AGENCIES B.V.,HAZEWINDSTRAAT 71,,8540,DEERLIJK,Belgique,,BE0416844731,,0032 56 73 56 80
SID STEIBLE,4 AVENUE DE STRASBOURG,ZAC DES COLLINES,68350,DIDENHEIM,France,,,,03 89 60 62 70
CONNEXION INDUSTRIELLE,7 RUE PASTEUR,,54130,SAINT MAX,France,,,,
LATTY INTERNATIONAL,174 RUE DES SAULES,ZI LE CHAPELIER,38110,SAINT JEAN DE SOUDAIN,France,,,,04 74 97 01 09
VISCO JET,DAIMLERSTR.1,,79761,WALDSHUT TIENGE,Allemagne,,,,0049 7741 96567 0
INOXPA,ZAC D'EPINAY,69 ALLEE DES CAILLOTIERES,69400,GLEIZE,France,,,,04 74 62 71 00
FRANCE EXPRESS,,,,,France,,,,
SPX FLOW EUROPE LTD FRANCE,ZONE INDUSTRIELLE N°2,290 RUE JACQUARD,27006,EVREUX CEDEX,France,,,,02 32 23 73 00
KRAUTZBERGER FRANCE,28 AVENUE JOSEPH COMBIER,,26250,LIVRON,France,4690Z,FR 41 423 676 642,42367664200014,04 75 61 10 37
TRANE,INNOVALIA BATIMENT D,46/48 CHEMIN DE LA BRUYERE,69574,DARDILLY,France,,,,04 72 52 28 79
BERMAR,VIA CIRILLO BASSI 28/A,,40015,S. VINCENZO DI GALLIERA,Italie,,,,0039 051 812120
HAENCHEN HYDRAULIQUE SARL,ESPACE EUROPEEN DE L'ENTREPRISE,2 ALLEE D'OSLO,67013,SCHILTIGHEIM,France,,,,03 88 26 18 08
ALBERT DENIS INDUSTRIE,ZI DE LA POINTE - BP 55,22 RUE PIERRE GRANGE,94122,FONTENAY SOUS BOIS,,,,,01 53 99 22 22
AS FLUID SUD,ZI DU FOURNALET,60 IMPASSE GAY LUSSAC,84700,SORGUES,,,,,04 90 83 48 23
REG TECHNOLOGY,1 AVENUE DE LASSUS,,59481,HAUBOURDIN,France,,,,03 20 17 51 00
TRANSFLEX,116-118 ROUTE DE THIONVILLE,,57140,WOIPPY,France,,,,03 87 32 60 60
UNITELECOM,,,,,,,,,
KNF,4 BOULEVARD D'ALSACE,,68128,VILLAGE-NEUF,France,,,,03 89 70 35 00
ELECTRO MOTEUR,6 ZI DE L'ENCENSEMENT,,88200,SAINT NABORD,France,,,,03 29 32 40 05
ASD AUTO,15 RUE DU PRE DOUE,,88150,CHAVELOT,France,,,,03 29 31 01 10
CORIOLIS,,,,,,,,,
DIFF,590 RUE P. AUGUSTE ROIRET,PARC D'ACTIVITES DES TOURRAIS,69290,CRAPONNE,France,,,,08 20 20 94 00
J. LE CORVAISIER,4 ALLEE DES TILLEUS,ZONE INDUSTRIELLE,54182,HEILLECOURT CEDEX,France,,,,03 83 56 02 18
ALLINCKX Christophe,5 RUE DE LA COLOMBIERE,,21000,DIJON,France,,,,06 73 37 14 78
FEUCHT,9 TER RUE FOULD,,78600,LE MESNIL LE ROI,France,,,,01 39 62 35 87
STEIMEL,GEBR. STEIMEL GMBH & CO,MASCHINENFABRIK,53762,HENNEF,Allemagne,,,,00492 24 28 80 90
NYDEGGER S.A.S.,13 RUE DES FRERES LUMIERE,,68000,COLMAR,,,,,03 88 58 00 58
CSF INOX,14 AVENUE DE L'ARCALOD,ZAE RUMILLY SUD,74150,RUMILLY,France,,,,04 50 64 60 82
ZENIT EUROPE,29-31 ZONE ARTISANALE ''OP ZAEMER'',,4959,BASCHARAGE,Luxembourg,,LU22721183,,0 03 52 27 03 05
ORDIS,7 RUE DES PYRENEES,,68390,SAUSHEIM,France,,,,"03 89 50 26 26 "
TORGAN CORP,,,,,Luxembourg,,,,
PUMP INTERNATIONAL LTD,TREVOOLE PRAZE,TREVOOLE PRAZ,TR14 0PJ,CAMBORNE,Angleterre,,,,0044 12 09 831 937
DESMI,21G RUE JACQUES CARTIER,,78960,VOISINS LE BRETONNEUX,France,,,,01 30 43 97 10
MRC,21-23 rue du Petit Albi,Immeuble Cerithe C2- Hall 201,95031,CERGY PONTOISE,France,,,,01 30 73 60 78
POMPES AB,ZA PARIWEST,7 RUE MARIE CURIE,78310,MAUREPAS,France,,,,01 30 05 15 15
M2G,Z.I. CAP VOSGES,15 RUE DES FAISANS,88100,REMOMEIX,France,,,,06 18 16 00 32
SAWA PUMPEN,TAASTRASSE 40,POSTFACH 244,CH-9113,DEGERSHEIM,Suisse,,,,0041 71 372 08 08
STIRO SERVICE SRL,"VIA NAZARIO SAURO,3",,20068,PESCHIERA BORROMOE,Italie,,,,0039 55 30 00 99
CREDITSAFE,,,,,,,,,
POUEY,,,,,,,,,
ALBIN PUMP,Z.I. DU MEYROL,6 AVENUE DU PEYROL,26200,MONTELIMAR,France,,,,04 75 90 92 92
CASTELLO FRANCE,320 RUE SAINT HONORE,,75001,FRANCE,,4669B,FR82453814394,45381439400020,04 77 29 67 81
ALSAPLAST,15 RUE DES FABRIQUES,,65470,HUSSEREN WESSERLING,France,,,,
"KSB ",5 AVENUE DE L'EUROPE,ZI LE RIED - BP156,67723,HOERDT CEDEX,,,,,
SERRURERIE SERVICE,ZA DE LA GARE,,88600,BROUVELIEURES,,,,,
EFRAPO - Strasbourg,1 RUE DE CHERBOURG,,67026,STRASBOURG CEDEX,France,,,,03 88 40 40 40
" ",ZA - 433 AVENUE SAINTE BARBE,,30520,SAINT MARTIN DE VALGALGUES,France,,,,04 66 30 19 16
POMPES CHIMIQUES BRAHIC,6 CHEMIN DES 2 MAS,PIST 4,30100,ALES,,,,,04 66 30 19 16
GROUPE RMS,"ZI LA FOUGERE ",,88150,CHAVELOT,France,,,,03 29 31 34 73
SOVAL,1 RUE DES FONDERIES,,52130,BROUSSEVAL,,,,,03 25 56 74 74
ATLANTIQUE INDUSTRIE,80 IMPASSE FELIX AMIOT,,44150,ANCENIS,France,,,,02 40 09 70 09
BEN AMARA,,,,,,,,,
SOPEFI,ZAC DES MURONS,13 RUE JULES VEDRINES,42160,ANDREZIEUX,France,,,,04 77 61 35 42
SESEM,70-74 RUE AMBROISE CROIZAT,LA MANUFACTURE - CS 40001,93207,SAINT DENIS CEDEX,France,,,,01 55 84 05 20
NEOTECH,19 RUE ANTOINE DE ST EXUPERY,BP 53090,88103,SAINT-DIE-DES-VOSGES,,,,,
ZIEGLER,,,,,,,,,
CGR,38 AVENUE PAUL VAILLANT COUTURIER,,51430,TINQUEUX,France,,,,03 26 79 33 75
ROBUSCHI,6 RUE DE LA GRANDE BORNE,,77990,LE MESNIL AMELOT,France,,,,01 60 03 75 69
SPMB,"RUE DE L'YSER,31",,B-7180,SENEFFE,Belgique,,,,0032 64 36 86 64
VOGELSANG,Z.A. DE FONTGRAVE,,26740,MONTBOUCHER SUR JABRON,France,,,,04 75 52 74 50
TILLOC,118 ROUTE DE THIONVILLE,,57140,WOIPPY,France,,,,
J2L INVEST,,,,,,,,,
STI,9 AVENUE PIERRE DE COUBERTIN,,88150,THAON LES VOSGES,France,,,,
EQHYP AIR-CA,3 RUE JACQUES MURGIER,ACTIPOLE LA NEUVILLETTE,51051,REIMS CEDEX,France,,,,03 26 87 35 25
ENVIROFLEX,"UNIT 16, EXCHANGE POINT","PEAK DRIVE, DERBY",DE24 8EB,DERBYSHIRE,Angleterre,,,,0044 13 32 913 200
IP FRANCE,ZA DU PLATEAU,,54630,FLAVIGNY SUR MOSELLE,France,,,,03 83 25 45 04
CAPRARI FRANCE SARL,16 RUE CLAUDE BERNARD,Z.A. PARIWEST,78310,MAUREPAS,France,,,,01 30 13 92 70
RISACHER Nanc,5 RUE ANDRE JACQUEMIN,,88000,EPINAL,France,,,,
DB SCHENKER,,,,,France,,,,
LAMBERT MOTEURS SAS,RUE DU CHATEAU D'EAU,,69410,CHAMPAGNE AU MONT D'OR,France,,,,04 78 66 89 50
VECTA COLLE,14 CHEMIN DU FORT,,31180,CASTELMAUROU,France,,,,05 61 08 49 49
SAPHIR'M,,,,,,,,,
FLUID HYDR'EAU,290 RUE LOUISE LABE,Z.I. CHAPOTIN,69970,CHAPONNAY,France,,,,04 37 28 20 10
TDM,,,,,,,,,
AKO INNOVATIONS - SAS,Z.A. DES TUILIERS,5 RUE GILARDONI,68210,RETZWILLER,France,,,,03 89 40 12 13
ABRA POMPE S.R.L.,"VIA R. MORANDI, 29",,20090,SEGRATE,Italie,,,,
VANNES EBRO,10 RUE DU MARECHAL JUIN,,95210,SAINT GRATIEN,France,,,,01 34 28 41 41
CPG,Z.I. DE RUITZ -SECTEUR LE BOIS,215 RUE DES REPTINS,62620,BARLIN,France,,,,03 21 62 47 67
CIC,,,,,France,,,,
OVINI,,,,,,,,,
SADEC,11 AVENUE BOUFFLERS,,54000,NANCY,France,,,,
PROCHEM,WASHFORD MILL,"MILL STREET, CONGLETON",CHESHIRE,CW12 2AD,Angleterre,,,,+44 (0) 12 60 29 9770
TOSHIBA,,,,,,,,,
PRICEMINISTER,,,,,,,,,
CARTE BANCAIRE,,,,,,,,,
GEMU SAS,1 RUE JEAN BUGATTI,,67129,MOLSHEIM,France,,,,03 88 48 21 00
GEDO POMPES,"24, LES VIGNES",,34380,VIOLS LE FORT,France,,,,09 70 40 78 08
LRI,ZI MONTAUDRAN,26 AV DIDIER DAURAT,31400,TOULOUSE,France,,,,05 34 25 63 94
KRAMPITZ,DANNENBERGER STR.15,,21368,DAHLENBURG/LBG,Allemagne,,,,0049 58 51 94 43-0
TSURUMI POMPES LOCATION,11 AVENUE DE LA CONCORDE,,67120,ERNOLSHEIM SUR BRUCHE,France,,,,03 88 33 62 68
SCHWAB,EICHENALLEE 4,,24589,NORTORF,Allemagne,,,,0049 43 92 91 24 14
CIMAP,13 AVENUE DE LA PORTE DE CHAMPERRET,,75017,PARIS,France,,,,01 44 29 00 00
THOME,60 ROUTE DU LUXEMBOURG,,57100,MANON,France,,,,03 82 82 46 66
INDUSTRIE PUMPEN VERTRIEBS,GMBH DRESDEN,OTTO-MOHR-STRASSE 8,01237,DRESDEN,Allemagne,,,,00351 28 79 88 0
MOSAPLAST,18 BIS RUE DU POINT DU JOUR,,08600,GIVET,France,,,,
MG CHAUDRONNERIE,1223 RUE BOIS LA VILLE,,54200,TOUL,France,,,,03 83 43 19 66
CREST PUMPS GROUP,7 QUEENSWAY,STEM LANE IND EST NEW MILTON,BH25 5NN,HAMPSHIRE,Angleterre,,,,0044 1425 627 700
LUTZ FRANCE S.A.S,35-37 AVENUE DU GROS CHENE,VALAD PARC D'ERAGNY,95220,HERBLAY,France,,,,01 79 97 37 10
PSH,LA FORJA,"54, PL CENTRO",08840,VILADECANS,Espagne,,,,0034 93 377 40 66
COVECA SARL,33 RUE DENIS DU PEAGE,ZONE D'EMPLOI ST ROCH,59520,MARQUETTE LEZ LILLE,,4669B,FR82 403402233,40340223300015,03 20 55 00 42
SEFLID,15 ROUTE DEPARTEMENTALE 1004,,67700,OTTERSWILLER,,,,,03 88 91 84 84
RELLY,Z.I. DE LEPANGE,,88360,RUPT/MOSELLE,France,,,,03 29 61 00 00
AMBULANCES PIERRARD,66 RUE DU GENERAL LECLERC,,88500,MIRECOURT,France,,,,03 29 37 09 44
LBA,16 PLACE DE LA MADELEINE,,21200,BEAUNE,France,,,,
EMS,210 RUE SAINT REMY,,88500,BAUDRICOURT,France,,,,
PARSEC,17 AVENUE DES TILLEULS,,57191,FLORANGE,France,,,,03 82 51 44 78
COMPTOIR DE L'OBJET,39 RUE EMILE ZOLA,,88000,EPINAL,France,,,,03 29 35 00 57
IFM ELECTRONIC,1/3 RUE JEAN RICHEPIN,IMMEUBLE URANUS,93192,NOISY LE GRAND,France,,,,08 20 22 30 01
VANEFI CONSEIL,ZONE SEBASTOPOL,19 RUE DE SARRE,57070,METZ,France,,,,
MERLINO,11 RUE DE LA MOSELLE,,88190,GOLBEY,France,,,,03 29 34 18 57
EMERSON PROCESS MANAGEMENT,EUROPARC DU CHENE,14 RUE EDISON,69671,BRON CEDEX,France,,,,04 72 15 98 00
HELVETIA,,,,,France,,,,
EUREKA INDUSTRIES,130 AVENUE FOCH,,94100,SAINT MAUR DES FOSSES,France,,,,01 43 97 48 71
THINQK LTD,DE SCHEPER 260,,5688,OIRSCHOT,Pays-Bas,,NL859341641B01,,
DISTRILAB INDUSTRIE,15 RUE DE LA VOIVRE,Z.I. DE LA VOIVRE,88000,EPINAL,France,,,,03.29.38.29.20
HOTEL,,,,,France,,,,
PHILIPPE BADER - STEPHAN WILLER,31 RUE JEAN MONNET,BP 42064,68059,MULHOUSE CEDEX 2,France,,,,03 89 56 62 74
CCI NANCY,110 BOULEVARD D'AUSTRASIE,,54000,NANCY,France,,,,03 83 85 61 00
IUT LYON 1,43 BD DU 11 NOVEMBRE 1918,,69622,VILLEURBANNE,France,,,,
NETZSCH,32-34 AVENUE DES CHARDONS,,77348,PONTAULT-COMBAULT,France,,,,01 64 43 54 10
LEJEUNE ENVIRONNEMENT,84 RUE GUSTAVE COLIN,,62000,ARRAS,France,,,,06 31 98 05 43
PRENAT Jean-François,68 AVENUE FRANCOIS JACOB,,51430,BEZANNES,France,,,,07 78 18 17 08
LEYBOLD FRANCE SAS,RUE A. BERGES BP 107 640,,26501,BOURG LES VALENCE CEDEX,Allemagne,,DE 17 455 58 05,,0049 221 3470
KUEHNE + NAGEL ROAD,350 RUE DU CHAMP MOYEN,,54710,FLEVILLE DEVANT NANCY,France,,,,03 83 26 54 54
OCENE,AVENUE DE MONTHORIN,,35420,LOUVIGNE DU DESERT,France,,,,02 99 98 00 58
BROQUET,15 RUE JEAN POULMARCH,,95100,ARGENTEUIL,France,,,,01 39 47 36 10
SEMI,Z.A. DE BREQUETTES,,57175,GANDRANGE,France,,,,03 87 58 34 62
IN FINE,24 AVENUE DE LA FONTENELLE,,88190,GOLBEY,France,,,,06 29 26 54 83
OFFICINE MECCANICHE PARENTI SRL,VIA EMILIA 51/C,,40011,ANZOLA EMILIA (BOLOGNA),Italie,,IT02577301209,,+39 051 732190
RELINCO,6 AVENUE DES ANDES,,91952,COURTABOEUF CEDEX,France,518M,FR67592031629,59203162900039,01 60 92 59 67
EMMAP,9 RUE DU VIEUX MOULIN,ZI COURBETAUX,51210,MONTMIRAIL,France,,,,"03 26 80 54 81 "
RELINCO,6 AVENUE DES ANDES,,91952,COURTABOEUF Cedex,France,518M,FR 67 592 031 629,59203162900039,01 60 92 59 67
ELECT-IP,78 RUE ROGER SALENGRO,,54230,NEUVES-MAISONS,France,,,,03 83 26 45 38
DEKLIC,17 RUE DE L'ENCENCEMENT,,88200,SAINT-NABORD,France,,,,03 29 69 15 00
"R & O DEPOLLUTION ",PARC DU COLOMBIER,14 RUE JULES SAULNIER,93200,SAINT-DENIS,France,,,,01 41 51 18 18
COGETIL S.A,44 ROUTE DU BASSIN N°6,,92638,GENNEVILLIERS,France,,,,01 47 99 71 71
FIRST ECO,,,,,France,,,,
PENTAIR WATER ITALY,VIA MASACCIO,,13 56010,LUGNANO (PISE),Italie,,,,
SWISS,19 RUE LEOPOLD,,88600,BRUYERES,France,,,,
MANUTAN,AVENUE DU XXième SIECLE,,95500,GONESSE,France,,,,
CIAT,3 RUE TONNELIER,,67960,ENTZHEIM,France,,FR 01 545 620 114,,03 69 24 01 23
AXFLOW S.A.S,ZAC DE LA CROIX PRUNELLE,,27220,SAINT ANDRE DE L'EURE,France,,FR91 542 048 798,542048798,02 32 37 49 06
DZIECIUCH Jean,,,,,France,,,,
POMPES BODIN,ROUTE DE TOURS - BP 29,,37150,BLERE,France,2813Z,FR 32 775 592 348,77559234800012,02 47 57 89 86
A.C.E. DIJON,4 RUE NOURISSAT,,21000,DIJON CEDEX,France,,,,03 80 59 60 00
PINK DESIGN,343 RUE DE LA PRAIRIE,,88270,VALLEROY AUX SAULES,France,,,,
LA MAISON DES ARTISTES,60 RUE DU FAUBOURG POISSONNIERE,,75484,PARIS CEDEX 10,France,,,,01 53 35 83 63
GITRAL,ZI DE BOURNAT,,63190,ORLEAT,France,,,,04 73 73 12 75
WIWA FRANCE,"20 AVENUE MARECHAL DELATTRE ",DE TASSIGNY,69330,MEYZIEU,France,,,,04 72 27 08 80
GARAGE DE LA VRAINE,32 RUE D'ALSACE,,88170,GIRONCOURT SUR VRAINE,France,,,,03 29 94 42 38
CRANE -> VOIR XOMOX FRANCE,8 RUE DE L'ILL,,68350,BRUNSTATT,France,4669B,FR27945851079,945851079,03 89 61 13 28
XOMOX FRANCE,8 RUE DE L'ILL,,68350,BRUNSTATT,France,,,,03 89 61 13 28
FREE KART,,,,,France,,,,
SAMOA FRANCE,BP 70103,,67602,SELESTAT Cedex,France,,,39261239600078,03 88 82 79 62
TMI,1 RUE GUSTAVE EIFFEL,ZI LA CHAZOTTE,42353,"LA TALAUDIERE ",France,,,,04 77 53 28 72
TAXI DE LA VRAINE,28 RUE LASSUS,,88170,GEMMELAINCOURT,France,,,,
SANEL PLASTIMARNE,ZA DES GRANDS LONGERONS,,51170,FISMES,France,,,,03 26 48 33 10
RICKMEIER,LANGENHOLTHAUSER STR 20-22,,D-58802,BALVE,Allemagne,,,,0049 23 75 92 70
ANDRITZ SAS,30 RUE HENRI MARTIN,,86100,CHATELLERAULT,France,,,,05 49 93 93 81
EMO SAS,4 RUE LEPINE,BP 53209,35532,NOYAL SUR VILAINE,France,,,,02 99 86 02 03
SICAP PLASTURGIE,1 RUE ANDRE MARIE AMPERE,ZI DES BLETTRYS,71530,CHAMPFORGEUIL,France,,,34265756600028,03 85 97 25 55
JOSEF EMMERICH,JOSEF EMMERICH STRASSE 1-3,,53506,HONNINGEN-LIERS,Allemagne,,,,0049 26 95 92 01 0
NISSAN,1 ROUTE DE THIONVILLE,,57050,METZ,France,,,,03 87 30 00 31
HYDRO-FLUID,115 ROUTE DU ROBINSON,,74150,VALLIERES,France,,,,04 50 68 20 02
MATHIEU,1 RUE DES PORTIONS,,88200,ST NABORD,France,,,,03 29 62 18 39
LE GRAND HOTEL,PLACE DU TILLEUL,,88400,GERARDMER,France,,,,03 29 63 06 31
MENG,38 RUE DE MULHOUSE,BP 53,68171,RIXHEIM,France,,,,03 89 44 11 07
DATEP,"Z.A. ""LES PORTES DU NORD""",,62820,LIBERCOURT,France,,,,03 21 40 06 10
STIC,"100, ZI DE TRUSEY",,88390,CHAUMOUSEY,France,,,,03 29 43 12 17
CT PLATON SAS,BP 70-213,3 RUE NICOLAS CHAIZE,42013,SAINT ETIENNE CEDEX 2,France,,FR45439195447,43919544700040,04 77 41 06 88
REXEL EPINAL,8 AVENUE DU ROSE POIRIER - BP1099,ZIC DU SAUT LE CERF - LA VOIVRE,88000,EPINAL,France,4669A,FR 26 309 304 616,,03 29 81 16 16
MECA-INOX,ZAC DE MAGNY,12 RUE DE LA HAUTE BORNE,27140,GISORS,France,,,,
JEANNOT,20 PORTE DU GRAND LYON,,01700,NEYRON,France,,,,04 37 85 12 12
MOTRALEC,4 RUE LAVOISIER,BP 60066,95223,HERBLAY,France,,,,01 39 97 65 10
MICHELIN,,,,,France,,,,
EIMI METZ,6 ALLEE DES TILLEULS,PARC ARAVIS,57130,JOUY-AUX-ARCHES,France,,,,03 87 60 68 60
CCI VOSGES,10 RUE CLAUDE GELEE,,88026,EPINAL CEDEX,France,,,,03 29 33 88 88
LA POSTE,,,,,France,,,,
EPSAT,32 RUE ANDRE VITU,,88027,EPINAL,France,,,,03 29 82 26 84
SEEPEX PUMPEN,1 RUE PELLOUTIER,,77183,CROISSY BEAUBOURG,France,,,,01 64 11 44 50
MABEO INDUSTRIES,18 AVENUE D'ARSONVAL,,01000,BOURG EN BRESSE,France,,,,03 22 43 21 24
FLOWSERVE SIHI S.L (SPAIN),"Vrda. Zapateros ",,28223,POZUELO DE ALARCON MADRID,Espagne,,ESB28181972,,
SIMONIN MESSAGERIE,ZONE ARTISANALE,PATIS DES SAULES,88450,VINCEY,France,,,,"03 29 67 41 70 "
TH - FRANCE,550 AVENUE DU GENERAL DE GAULLE,BP 203 SAINTE MARGUERITE,88106,SAINT DIE CEDEX,France,,,,03 29 56 23 82
JLM,772 ROUTE DE FLEVILLE,,54710,LUDRES,France,,,,03 83 25 72 00
ENGINEERING MESURES,120 ROUTE DE VERSAILLES,,91160,CHAMPLAN,France,,,,01 69 41 41 41
STOCKLOR,ZI INOVA 3000,13 RUE DE L'INDUSTRIE,88150,THAON LES VOSGES,France,,,,03 29 39 03 39
PLASTIQUES DE L'AISNE,ZI DES WAILLONS,,02200,BRAINE,France,,,,03 23 74 85 68
FDPI,,,,,France,,,,
VILLA MATHIS,COL DU KREUTWEG,,67140,LE HOHWALD,France,,,,
MIL'S,15 RUE DE GENEVE,,69746,GENAS Cedex,France,,FR48327218939,,04 72 78 00 40
AXESS INDUSTRIES,1 RUE JOB,,67100,STRASBOURG,France,,FR14 489 469 890,48946989000060,03 88 18 31 03
AQUARIUM,38 RUE DE TENTELING,,57980,DIEBLING,France,,,,03 87 02 47 51
LUTZ KRACHT,LUKRA PUMPEN,POSTFACH 1226,58804,NEUENRADE,Allemagne,,,,0049 23 94 24 57 00
CAPEL DMP,54 ALLEE DES PLATANES,,77100,MEAUX,France,,,,01 60 09 92 77
CJD,,,,,France,,,,
CCI YONNE,,,,,France,,,,
LIBERAT,,,,,France,,,,
TECHNIPLAST,ZONE ARTISANALE,BP 20005,57660,GROSTENQUIN,France,2223Z,FR59385233705,38523370500024,03 87 01 77 77
VARVENNE NOTAIRES ASSOCIES,,,,,France,,,,
COMPTOIRS INDUSTRIELS DU RHONE,75 AVENUE DU PROGRES,,69680,CHASSIEU,France,,,,04 78 60 57 00
CPI-SALINA,Z.A. LES GAUDINES,5 RUE GUSTAVE EIFFEL,78570,ANDRESY,France,,,,01 39 70 84 50
" ",,,,,France,,,,
TIMMER,DIESELSTRASSE 38,,48485,NEUENKIRCHEN,Allemagne,,,,0049 17 47 46 28 05
RENSON INTERNATIONAL,ZA DE L'A2,ACTIPOLE - AVENUE STE OLLE,59554,RAILLENCOURT STE OLLE,France,,,,03 27 72 94 94
FTA,ZA DE LA GARE,6 AVENUE HENRI BEAUDELET,77330,OZOIR LA FERRIERE,France,,,,01 64 40 00 29
CAZAUX,ZA DE LALANDE,,33450,MONTUSSAN,France,,,,05 57 77 70 70
RESEAU ENTREPRENDRE,,,,,France,,,,
KIMMEL,9 RUE RENE FRANCOIS JOLLY,,57200,SARREGUEMINES,France,,,,03 87 28 50 30
WILMOT,441 ROUTE DE BAPAUME,,59400,FONTAINE NOTRE DAME,France,,,,03 27 74 10 47
EFFET MIROIR,2 CHEMIN DU BREUIL,,57220,BOULAY,France,,,,
BOWI PUMPS,"SCHRIEKBOS,90",,2980,ZOERSEL,Belgique,,,,0032 36 63 86 64
CURIONOMIE,16 RUE DE LA PRIMATIALE,,54000,NANCY,France,,,,06 43 19 25 46
IMMO PRAM,,,,,France,,,,
CAPITANIO AIRPUMPS S.R.L.,VIA BRIGATA MAZZINI,35/A,36016,THIENE (VI),Italie,,IT03695530240,,04 45 18 56 565
BALTIMORE AIRCOIL INTERNATIONAL SA,INDUSTRIEPARK ZONE A,,2220,HEIST-OP-DEN BERG,Belgique,,BE0434839320,,
WOEHL,11 RUE DE BAYONNE,,67100,STRASBOURG,France,,,,
18.1 ALLEE DU COCHE,44J AVENUE FRANCOISE GIROUD,2EME ETAGE,21000,DIJON,France,,,,06 29 11 58 89
CLEXTRAL,1 RUE COLONEL-RIEZ,,42702,FIRMINY,France,,,,04 77 40 31 43
ADF ETANCHEITE,12 RUE DU HAUT DE CHAUNE,,88600,BROUVELIEURES,France,,,,07 85 32 39 52
SEKO SAS,ALLEE DU 1ER MAI,ZI PARIEST CROISSY BEAUBOURG,77183,CROISSY BEAUBOURG,France,,,,01 60 05 90 60
CROUSTILLANCE,3 RUE DE LA MOSELLE,,88330,CHATEL SUR MOSELLE,France,,,,
EPAC,5 RUE DE LA BALLASTIERE,BP 49,88192,GOLBEY CEDEX,France,,,,03 29 68 80 80
POMPE CUCCHI SRL,VIA DEI PIOPPI 39,,20090,OPERA,Italie,,,,0039 02 57 60 62 87
GERARD FORMATION,,,,,France,,,,
CAPTAGE NEUTRALISATION,46 RUE DU HAUT DU PIN,,88470,SAINT MICHEL SUR MEURTHE,France,,,,03 29 58 33 76
DIRECT ENERGIE,,,,,France,,,,
JC LOGISTIQUE,28 RUE DES ORMES,,88160,FRESSE SUR MOSELLE,France,,,,03 29 25 73 12
A2V,6 RUE MARYSE BASTIE,PARC BEL AIR LA FORET,78125,GAZERAN,France,,,,01 61 08 62 19
BOULANGER,3 RUE DE RAMBERVILLERS,,88700,SAINT GORGON,France,,,,03 29 65 08 07
VAN DAMME Virgile,35 GRANDE RUE,,02640,SAINT SIMON,France,,,,
NICOLAS FRERES,37 GRANDE RUE,,88130,SAVIGNY,France,,,,
MCV,,,,,France,,,,
BALLAND CARRELAGE,,,,,France,,,,
DISTRI BOISSONS,,,,,France,,,,
LIGNE CARREE,,,,,France,,,,
LSI,,,,,France,,,,
BPALC,,,,,France,,,,
MERITECH,10 RUE DE L'AVENIR,,3895,FOETZ,Luxembourg,,,,
ELECTRO CONCEPT,4 IMPASSE DE BRU,,88700,RAMBERVILLERS,France,,,,03 29 65 42 47
DERICHEBOURG,,,,,France,,,,
MANULOC,,,,,France,,,,
